"Series","ModelID","ARMA_P","ARMA_Q","GARCH_P","GARCH_Q","Distribution","Model","AIC","BIC","HQIC","LogLikelihood","Convergence","Error"
1,56,1,1,2,1,"norm","eGARCH",2.24130534715008,2.25669823360673,2.24129303929886,-4050.0039836888,FALSE,NA
1,57,0,0,1,2,"norm","eGARCH",2.24734276406893,2.25760468837337,2.24733728788926,-4063.93774572884,FALSE,NA
1,58,1,0,1,2,"norm","eGARCH",2.24267687923072,2.25464912425256,2.24266942827689,-4054.48782828683,FALSE,NA
1,59,0,1,1,2,"norm","eGARCH",2.24274244877338,2.25471469379522,2.24273499781955,-4054.6065747286,FALSE,NA
1,60,1,1,1,2,"norm","eGARCH",2.24321360653162,2.25689617227086,2.24320387824308,-4054.45984142876,FALSE,NA
1,61,0,0,2,2,"norm","eGARCH",2.2434728548324,2.25715542057164,2.24346312654386,-4054.92934010147,FALSE,NA
1,62,1,0,2,2,"norm","eGARCH",2.23921412003282,2.25460700648947,2.2392018121816,-4046.21677137944,FALSE,NA
1,63,0,1,2,2,"norm","eGARCH",2.2392614199921,2.25465430644875,2.23924911214087,-4046.30243160569,FALSE,NA
1,64,1,1,2,2,"norm","eGARCH",2.2397557218034,2.25685892897745,2.23974053249353,-4046.19761218595,FALSE,NA
1,65,0,0,1,1,"std","eGARCH",2.17524282034893,2.18550474465336,2.17523734416925,-3933.36474765191,FALSE,NA
1,66,1,0,1,1,"std","eGARCH",2.17077557644162,2.18274782146346,2.17076812548779,-3924.27456893578,FALSE,NA
1,67,0,1,1,1,"std","eGARCH",2.17073502199848,2.18270726702032,2.17072757104465,-3924.20112483926,FALSE,NA
1,68,1,1,1,1,"std","eGARCH",2.17128330144269,2.18496586718194,2.17127357315415,-3924.19405891271,FALSE,NA
1,69,0,0,2,1,"std","eGARCH",2.17303134358832,2.18671390932757,2.17302161529979,-3927.35976323846,FALSE,NA
1,70,1,0,2,1,"std","eGARCH",2.16707833448246,2.18247122093911,2.16706602663123,-3915.57886374773,FALSE,NA
1,71,0,1,2,1,"std","eGARCH",2.16691986025102,2.18231274670767,2.1669075523998,-3915.2918669146,FALSE,NA
1,72,1,1,2,1,"std","eGARCH",2.16725737359721,2.18436058077126,2.16724218428734,-3914.90310358454,FALSE,NA
1,73,0,0,1,2,"std","eGARCH",2.17608403839497,2.18805628341681,2.17607658744114,-3933.88819353329,FALSE,NA
1,74,1,0,1,2,"std","eGARCH",2.17162900721885,2.18531157295809,2.17161927893031,-3924.82013207333,FALSE,NA
1,75,0,1,1,2,"std","eGARCH",2.17158787949231,2.18527044523155,2.17157815120377,-3924.74564976057,FALSE,NA
1,76,1,1,1,2,"std","eGARCH",2.17213566206341,2.18752854852006,2.17212335421218,-3924.73768399683,FALSE,NA
1,77,0,0,2,2,"std","eGARCH",2.17401728192474,2.1894101683814,2.17400497407352,-3928.14529756571,FALSE,NA
1,78,1,0,2,2,"std","eGARCH",2.16751640994729,2.18461961712135,2.16750122063743,-3915.37221841454,FALSE,NA
1,79,0,1,2,2,"std","eGARCH",2.16967985896201,2.18678306613606,2.16966466965214,-3919.29022458019,FALSE,NA
1,80,1,1,2,2,"std","eGARCH",2.16767244230896,2.18648597020042,2.16765406997599,-3914.65479302153,FALSE,NA
1,81,0,0,1,1,"sstd","eGARCH",2.15927372469655,2.17124596971839,2.15926627374272,-3903.44471542546,FALSE,NA
1,82,1,0,1,1,"sstd","eGARCH",2.15374145789994,2.16742402363919,2.1537317296114,-3892.4257802568,FALSE,NA
1,83,0,1,1,1,"sstd","eGARCH",2.15351610245105,2.16719866819029,2.15350637416251,-3892.01766153885,FALSE,NA
1,84,1,1,1,1,"sstd","eGARCH",2.15374686094136,2.16913974739802,2.15373455309014,-3891.43556516481,FALSE,NA
1,85,0,0,2,1,"sstd","eGARCH",2.15588816980762,2.17128105626427,2.1558758619564,-3895.3134755216,FALSE,NA
1,86,1,0,2,1,"sstd","eGARCH",2.14976194382268,2.16686515099674,2.14974675451282,-3883.21888026288,FALSE,NA
1,87,0,1,2,1,"sstd","eGARCH",2.14938776841071,2.16649097558476,2.14937257910084,-3882.54124859179,FALSE,NA
1,88,1,1,2,1,"sstd","eGARCH",2.14835964766366,2.16717317555513,2.14834127533069,-3879.67932191889,FALSE,NA
1,89,0,0,1,2,"sstd","eGARCH",2.16015852022829,2.17384108596754,2.16014879193975,-3904.04708013344,FALSE,NA
1,90,1,0,1,2,"sstd","eGARCH",2.15458945446324,2.16998234091989,2.15457714661202,-3892.96150203293,FALSE,NA
1,91,0,1,1,2,"sstd","eGARCH",2.15436279664304,2.16975568309969,2.15435048879182,-3892.55102472055,FALSE,NA
1,92,1,1,1,2,"sstd","eGARCH",2.15460031839462,2.17170352556868,2.15458512908476,-3891.98117661266,FALSE,NA
1,93,0,0,2,2,"sstd","eGARCH",2.15825775474011,2.17536096191417,2.15824256543025,-3898.60479383435,FALSE,NA
1,94,1,0,2,2,"sstd","eGARCH",2.1501757980274,2.16898932591886,2.15015742569442,-3882.96837022762,FALSE,NA
1,95,0,1,2,2,"sstd","eGARCH",2.14979899011347,2.16861251800494,2.1497806177805,-3882.2859710955,FALSE,NA
1,96,1,1,2,2,"sstd","eGARCH",2.14869241653006,2.16921626513893,2.14867055994044,-3879.28196633593,FALSE,NA
1,97,0,0,1,1,"norm","gjrGARCH",2.25356904391478,2.2621206475018,2.25356523961557,-4076.21353852966,FALSE,NA
1,98,1,0,1,1,"norm","gjrGARCH",2.24963716272426,2.2598990870287,2.24963168654459,-4068.09290169364,FALSE,NA
1,99,0,1,1,1,"norm","gjrGARCH",2.24976705196453,2.26002897626896,2.24976157578485,-4068.32813110777,FALSE,NA
1,100,1,1,1,1,"norm","gjrGARCH",2.25000901982468,2.26198126484652,2.25000156887085,-4067.7663349025,FALSE,NA
1,101,0,0,2,1,"norm","gjrGARCH",2.25381653220197,2.26578877722381,2.25380908124814,-4074.66173981777,FALSE,NA
1,102,1,0,2,1,"norm","gjrGARCH",2.93144441903375,2.94512698477299,2.93143469074521,-5300.84584287012,FALSE,NA
1,103,0,1,2,1,"norm","gjrGARCH",3.32000950808818,3.33369207382743,3.31999977979965,-6004.5372191477,FALSE,NA
1,104,1,1,2,1,"norm","gjrGARCH",2.95745358490741,2.97284647136407,2.95744127705619,-5346.94844226733,FALSE,NA
1,105,0,0,1,2,"norm","gjrGARCH",2.25442345826122,2.26468538256565,2.25441798208154,-4076.76088291106,FALSE,NA
1,106,1,0,1,2,"norm","gjrGARCH",2.25049177019682,2.26246401521866,2.25048431924299,-4068.64059582644,FALSE,NA
1,107,0,1,1,2,"norm","gjrGARCH",2.25062179353322,2.26259403855506,2.25061434257939,-4068.87606808866,FALSE,NA
1,108,1,1,1,2,"norm","gjrGARCH",2.25086325015795,2.26454581589719,2.25085352186941,-4068.31334603604,FALSE,NA
1,109,0,0,2,2,"norm","gjrGARCH",2.25027323654453,2.26395580228378,2.25026350825599,-4067.24483138215,FALSE,NA
1,110,1,0,2,2,"norm","gjrGARCH",2.24679490654136,2.26218779299801,2.24678259869014,-4059.9455757464,FALSE,NA
1,111,0,1,2,2,"norm","gjrGARCH",2.97785882826966,2.99325171472632,2.97784652041844,-5383.90233799636,FALSE,NA
1,112,1,1,2,2,"norm","gjrGARCH",2.24715396769799,2.26425717487205,2.24713877838813,-4059.59583550107,FALSE,NA
1,113,0,0,1,1,"std","gjrGARCH",2.17999474513533,2.19025666943977,2.17998926895566,-3941.97048344009,FALSE,NA
1,114,1,0,1,1,"std","gjrGARCH",2.17611038061046,2.1880826256323,2.17610292965663,-3933.93589928555,FALSE,NA
1,115,0,1,1,1,"std","gjrGARCH",2.17606129801652,2.18803354303836,2.17605384706269,-3933.84701070791,FALSE,NA
1,116,1,1,1,1,"std","gjrGARCH",2.17658103360377,2.19026359934301,2.17657130531523,-3933.78825185642,FALSE,NA
1,117,0,0,2,1,"std","gjrGARCH",2.42133203454127,2.43501460028051,2.42132230625273,-4377.03231455423,FALSE,NA
1,118,1,0,2,1,"std","gjrGARCH",2.39655705975683,2.41194994621348,2.39654475190561,-4331.16483521962,FALSE,NA
1,119,0,1,2,1,"std","gjrGARCH",2.40548202488224,2.42087491133889,2.40546971703102,-4347.32794706174,FALSE,NA
1,120,1,1,2,1,"std","gjrGARCH",2.41167904832368,2.42878225549774,2.41166385901382,-4357.55075651419,FALSE,NA
1,121,0,0,1,2,"std","gjrGARCH",2.18080610328847,2.19277834831031,2.18079865233464,-3942.43985305542,FALSE,NA
1,122,1,0,1,2,"std","gjrGARCH",2.17691650979575,2.19059907553499,2.17690678150721,-3934.3957992401,FALSE,NA
1,123,0,1,1,2,"std","gjrGARCH",2.1768674392958,2.19055000503505,2.17685771100726,-3934.3069325647,FALSE,NA
